2015 JCA NAME,Count,E1,E2,E3,E4,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,M1,JCA ID,JCA Definitions
Above Surface (PK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1.1.1,The ability to defeat kinetically delivered attacks in air and space.
Above Surface (PN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1.2.1,The ability to defeat non-kinetically delivered attacks in air and space.
Access a Healthy and Fit Force,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1.4.1.2.1,"The ability to obtain a healthy and fit force using appropriate standards for aptitudes and abilities, medical and mental conditions, and physical fitness to select recruits most likely to finish basic training, perform their job, and successfully complete the first term of service (generally 36 months)."
Accounting and Finance,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.5.2,"The ability to direct, supervise, provide advice, formulate policy, analyze, evaluate, and recommend efficient and effective resource allocation and performance targets/measures that support DOD missions, strategic goals, objectives, priorities, and approved strategies and policies including the ability to direct, formulate,"
Achievement of health preparedness and an adequate response capability,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1.4.1.10.4,"The ability to generate capabilities that medical personnel require to repair, restore, stabilize, or rehabilitate both DoD and non-DoD casualties within the homeland, including preparation for medical evacuation, return to duty, or rehabilitation. Response is coordinated with the USG Interagency and other partners."
Acquisition,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9.4,"The ability to establish and oversee policies, standards and assessment mechanisms for organization, security, access, and storage of data, information, and Information Technology (IT) architectures."
Acquisition Management,4,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,9.4.4,"The ability to test of product elements, manufacturing or support processes during"
Activate / Inactivate,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4.3.1.3.1,The ability to determine faults or verify repairs or determine condition of an item of equipment based on established equipment maintenance and serviceability standards.
Activate / Inactivate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3.2.3.1,The ability to determine faults or verify repairs or determine condition of an item of equipment based on established equipment maintenance and serviceability standards.
Advanced Technology,4,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,9.4.2,"The ability to translate promising basic research into solutions for broadly defined military needs, including studies, investigations, and non-system specific technology efforts, including design, development, and improvements of prototypes and new processes to meet general mission area requirements."
Advice and EXternal Matters,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.1.1,"The ability to provide advice, counsel, review, inspection and evaluation of policies, standards, systems, procedures and internal controls to ensure compliance with statutory and regulatory requirements and to propose changes to existing requirements."
Advisory and Compliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,"The ability to provide strategic senior level, enterprise-wide leadership, direction, coordination, and oversight through a chief management officer function."
Aeromedical Evacuation (AE),6,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1.4.1.5.1,The ability to provide movement of regulated patients under medical supervision to and between MTFs by USAF fixed-wing organic or commercial assets. Civil Reserve Air Fleet may also be used.
Air (EKM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.1.3.1,The ability to kinetically engage targets under water at a depth of 40-200 feet.
Air (ENKM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2.2.3.1,"The ability to non-kinetically engage targets beneath the surface of the earth (bunkers, basements, tunnels, caves, etc.)."
Air (MTE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.1.1,The ability to integrate the use of maneuver and engagement in all environments to create the effects necessary to achieve mission objectives.
Air (MTI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.2.1,The ability to maneuver to engage below the surface of a body of water.
Air (MTInfl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.3.1,The ability to maneuver to insert below the surface of a body of water.
Air (MTS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.4.1,The ability to maneuver to influence below the surface of a body of water.
Airfield Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7.2.5,The ability to prevent and respond to accidents and mitigate risk to the lowest acceptable level for real property.
Allocation,7,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1.1.1.3,"The ability to provide forces and resources, without transferring combatant command authority, to another combatant commander for execution planning or actual execution."
Ambulatory Diagnostic Services (Dental),4,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1.4.2.3.2,The ability to apply dental examinations and capabilities on an outpatient basis (return home the same day) without admission to a hospital.
Ambulatory Diagnostic Services (Medical),4,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1.4.2.3.1,The ability to apply medical examinations and capabilities on an outpatient basis (return home the same day) without admission to a hospital.
Amputee Care,5,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1.4.2.5.2,"The ability to assist patients who will experience, or have experienced, amputation and/or limb deficiency at any point along the continuum of care, including preoperative assessment, surgery, acute hospitalization, rehabilitation, outpatient services, prosthetics, and life-long management."
Analysis  Prediction and Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,"The ability to integrate, evaluate, analyze, and interpret, information from available sources to develop intelligence and forecast/predict the future state to enable situational awareness and provide actionable information."
Analyze Courses of Action,5,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,5.3.5,The ability to evaluate potential solutions to determine likelihood of success.
Analyze Information,6,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,5.2.2.2,The ability to methodically examine information by decomposing it into its constituent parts and studying their interrelations in a given context.
Analyze Problem,6,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,5.3.1,The ability to review and examine all available information to determine necessary actions.
Analyze Situation,5,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,5.3.1.1,"The ability to evaluate synthesized situational awareness, including intelligence assessments, environmental condition, and force assessments to prepare strategies or plans."
Anticipate and Predict Health Threats,4,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1.4.1.4.3,"The ability to anticipate, predict, and mitigate effects of climate/environment or other OEH threats. This capability relies upon monitoring the health of populations, evaluating disease outbreaks/clusters, and making forecast-based predictions on the effects of the environment and individual influences of the environment on humans or animals."
Applied,4,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,9.4.1.2,The ability to conduct a systematic study directed toward the discovery of knowledge or understanding of the fundamental aspects of phenomena and of observable facts without specific applications.
Apply Situational Understanding,6,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,5.3.2,The ability to use synthesized information and awareness applicable to a given situation or environment to further understand the problem.
