System,Alignment,Aligned Cap,Total Cap,Percent Grouping,Percent,EMW Coverage,Systems with Same EMW Coverage,EMW Combo Count,Top 10 EMW Match,Top 10 EMW Combo #
.NET,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
1SOURCE,Aligned,1,1,90-100%,100%,E3 | E4 | W2 | W5 | W6 | W8 ,28,6,,
24HBP,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
3D-OCT 2000,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
3DI,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
3D Topographer,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
3T,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
7500 PCR,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ABACUS,Aligned,1,1,90-100%,100%,E4 | W10 ,27,2,,
ABHIDE,Aligned,4,4,90-100%,100%,E3 | E4 | W1 | W10 | W7 | W8 ,1,6,,
ABIS,Aligned,1,1,90-100%,100%,M1 | W10 | W5 | W7 ,24,4,,
ABOG,Aligned,1,1,90-100%,100%,E3 | M1 | W5 ,3,3,,
ABP,Aligned,1,1,90-100%,100%,E3 | E4 | W10 | W8 ,19,4,,
ABPM,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ABR,Aligned,1,1,90-100%,100%,E3 | E4 | W6 | W8 ,9,4,,
ABSS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ACAV,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ACCESS,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ACCU-CHEK,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ACDSEE,Aligned,1,1,90-100%,100%,W8 ,44,1,W8 ,8
ACM,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W8 ,236,4,E3 | E4 | W5 | W8 ,3
ACRONIS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ACS,Aligned,1,1,90-100%,100%,E4 | W7 ,318,2,E4 | W7 ,1
ACS-ECG,Aligned,3,4,70-80%,75%,E3 | E4 | W10 | W5 | W7 | W8 ,1,6,,
ACS-W,Aligned,1,1,90-100%,100%,E3 | E4 | W5 | W6 | W8 ,304,5,E3 | E4 | W5 | W6 | W8 ,2
ACS ECG,Aligned,1,1,90-100%,100%,W7 | W8 ,22,2,,
