System,Capability
.NET,End User Services
1SOURCE,Pharmacy Services
24HBP,Ambulatory Diagnostic Services (Medical)
24 HOUR NURSING,Utilization Management
3D-OCT 2000,Specialty Care
3DI,Mental Healthcare
3D Topographer,Specialty Care
3T,Defensive Cyber - Internal Defensive Measures
7500 PCR,Laboratory Diagnostic Services
911 RECORDER,Localized Communications
AAA STACK,Common Identity Assurance Services
ABACUS,Accounting and Finance
ABHIDE,Archive and Retrieve Health-Related Documents and Data
ABHIDE,Ensure the Physical and Mental Health of the Redeployed Force
ABHIDE,Provide Health Risk Assessment
ABHIDE,Provide Comprehensive Health Surveillance
ABIS,Medical Information Management
ABOG,Credentialing and Privileging
ABP,Environmental
ABPM,Routine Ambulatory Care (Medical)
ABR,Sensory Rehabilitation
ABSS,End User Services
ACAS,Net Management
ACAV,Routine Ambulatory Care (Medical)
ACCESS,Laboratory Diagnostic Services
ACCESS CONTROL,Installation Services
ACCU-CHEK,Specialty Care
ACD,Localized Communications
ACDSEE,Enterprise Application Software
ACL,Audits
ACM,Laboratory Diagnostic Services
ACRONIS,Server Services
ACS,Assure Access
ACS-ECG,Optimize Health and Fitness of the Peacetime Force
ACS-ECG,Archive and Retrieve Health-Related Documents and Data
ACS-ECG,Studies & Analyses
ACS-ECG,Ambulatory Diagnostic Services (Medical)
ACS-W,Mental Healthcare
ACS ECG,Archive and Retrieve Health-Related Documents and Data
ACTIGRAPH,Specialty Care
ACTILIFE,Specialty Care
ACTIVCLIENT,Assure Access
ACTIVEROLES,Assure Access
ACTIVEX,End User Services
ACTIVIDENTITY,Assure Access
ACTUR,DEFINE THE HEALTH BENEFIT
AD,Mental Healthcare
AD,Physical Rehabilitation
AD,Provide Health-Related Education
AD,Preventive Medical Services
AD,Wounded  Ill and Injured Support
AD,Content Delivery
AD,User Access (Portal)
ADM,Mental Healthcare
ADMIN COST,Accounting and Finance
ADOBE,Shared Computing
ADPAAS,Personnel Accountability
ADS,Medical Research and Development
ADVIA,Laboratory Diagnostic Services
AD OJT,Core and Specialty Medical Education and Training Programs
AE51,Occupational Health Services
AEI,Occupational Health Services
AEP,Specialty Care
AERO,Ambulatory Diagnostic Services (Medical)
AERO,Content Discovery
AERO,Archive and Retrieve Health-Related Documents and Data
AERO,Readiness Reporting
AERO,Assure Transfer
AEROSCOUT,Medical Logistics Services
AF-EMIS,Environmental
AF-RTP,Laboratory Diagnostic Services
