System,JCA ID,Capability,WME,WME Description
.NET,6.2.2.4,End User Services,E4,Deliver Solutions to Combatant Commands
.NET,6.2.2.4,End User Services,W7,Deliver and Sustain Electronic Health Record
1SOURCE,1.4.2.4.10,Pharmacy Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
1SOURCE,1.4.2.4.10,Pharmacy Services,E4,Deliver Solutions to Combatant Commands
1SOURCE,1.4.2.4.10,Pharmacy Services,W2,Ensure that Everyone Can Succeed
1SOURCE,1.4.2.4.10,Pharmacy Services,W5,Manage and Administer MTFs
1SOURCE,1.4.2.4.10,Pharmacy Services,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
1SOURCE,1.4.2.4.10,Pharmacy Services,W8,Improve Readiness Health and Experience
24HBP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
24HBP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),E4,Deliver Solutions to Combatant Commands
24HBP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W5,Manage and Administer MTFs
24HBP,1.4.2.3.1,Ambulatory Diagnostic Services (Medical),W8,Improve Readiness Health and Experience
3D-OCT 2000,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
3D-OCT 2000,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
3D-OCT 2000,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
3D-OCT 2000,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
3D-OCT 2000,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
3DI,1.4.2.4.12,Mental Healthcare,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
3DI,1.4.2.4.12,Mental Healthcare,E4,Deliver Solutions to Combatant Commands
3DI,1.4.2.4.12,Mental Healthcare,W5,Manage and Administer MTFs
3DI,1.4.2.4.12,Mental Healthcare,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
3DI,1.4.2.4.12,Mental Healthcare,W8,Improve Readiness Health and Experience
3D Topographer,1.4.2.4.3.2,Specialty Care,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
3D Topographer,1.4.2.4.3.2,Specialty Care,E4,Deliver Solutions to Combatant Commands
3D Topographer,1.4.2.4.3.2,Specialty Care,W5,Manage and Administer MTFs
3D Topographer,1.4.2.4.3.2,Specialty Care,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
3D Topographer,1.4.2.4.3.2,Specialty Care,W8,Improve Readiness Health and Experience
3T,6.1.4,Defensive Cyber - Internal Defensive Measures,E4,Deliver Solutions to Combatant Commands
3T,6.1.4,Defensive Cyber - Internal Defensive Measures,W7,Deliver and Sustain Electronic Health Record
7500 PCR,1.4.2.3.4,Laboratory Diagnostic Services,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
7500 PCR,1.4.2.3.4,Laboratory Diagnostic Services,E4,Deliver Solutions to Combatant Commands
7500 PCR,1.4.2.3.4,Laboratory Diagnostic Services,W5,Manage and Administer MTFs
7500 PCR,1.4.2.3.4,Laboratory Diagnostic Services,W8,Improve Readiness Health and Experience
ABACUS,9.5.2,Accounting and Finance,E4,Deliver Solutions to Combatant Commands
ABACUS,9.5.2,Accounting and Finance,W10,Deploy Solutions for 21st Century
ABHIDE,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W7,Deliver and Sustain Electronic Health Record
ABHIDE,1.4.1.4.9,Archive and Retrieve Health-Related Documents and Data,W8,Improve Readiness Health and Experience
ABHIDE,1.4.1.2.4,Ensure the Physical and Mental Health of the Redeployed Force,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ABHIDE,1.4.1.2.4,Ensure the Physical and Mental Health of the Redeployed Force,E4,Deliver Solutions to Combatant Commands
ABHIDE,1.4.1.2.4,Ensure the Physical and Mental Health of the Redeployed Force,W8,Improve Readiness Health and Experience
ABHIDE,1.4.1.4.5,Provide Health Risk Assessment,E4,Deliver Solutions to Combatant Commands
ABHIDE,1.4.1.4.5,Provide Health Risk Assessment,W1,Build Robust Improvement Capability
ABHIDE,1.4.1.4.5,Provide Health Risk Assessment,W8,Improve Readiness Health and Experience
ABHIDE,1.4.1.4.5,Provide Health Risk Assessment,W10,Deploy Solutions for 21st Century
ABHIDE,1.4.1.4.1,Provide Comprehensive Health Surveillance,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ABHIDE,1.4.1.4.1,Provide Comprehensive Health Surveillance,E4,Deliver Solutions to Combatant Commands
ABHIDE,1.4.1.4.1,Provide Comprehensive Health Surveillance,W8,Improve Readiness Health and Experience
ABIS,1.4.3.7,Medical Information Management,W5,Manage and Administer MTFs
ABIS,1.4.3.7,Medical Information Management,W7,Deliver and Sustain Electronic Health Record
ABIS,1.4.3.7,Medical Information Management,W10,Deploy Solutions for 21st Century
ABIS,1.4.3.7,Medical Information Management,M1,Optimize Critical Internal Management Processes
ABOG,1.4.3.4.2,Credentialing and Privileging,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ABOG,1.4.3.4.2,Credentialing and Privileging,W5,Manage and Administer MTFs
ABOG,1.4.3.4.2,Credentialing and Privileging,M1,Optimize Critical Internal Management Processes
ABP,1.4.1.4.3.1,Environmental,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ABP,1.4.1.4.3.1,Environmental,E4,Deliver Solutions to Combatant Commands
ABP,1.4.1.4.3.1,Environmental,W8,Improve Readiness Health and Experience
ABP,1.4.1.4.3.1,Environmental,W10,Deploy Solutions for 21st Century
ABPM,1.4.2.4.3,Routine Ambulatory Care (Medical),E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ABPM,1.4.2.4.3,Routine Ambulatory Care (Medical),E4,Deliver Solutions to Combatant Commands
ABPM,1.4.2.4.3,Routine Ambulatory Care (Medical),W5,Manage and Administer MTFs
ABPM,1.4.2.4.3,Routine Ambulatory Care (Medical),W8,Improve Readiness Health and Experience
ABR,1.4.2.5.1.2,Sensory Rehabilitation,E3,Co-create Optimal Outcomes for Health Well-Being and Readines
ABR,1.4.2.5.1.2,Sensory Rehabilitation,E4,Deliver Solutions to Combatant Commands
ABR,1.4.2.5.1.2,Sensory Rehabilitation,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health
