System,EMW,EMW Description,Total EMWs for Entire System
DHMSM,E1,Empower and Care for Our People,15
DHMSM,E2,Optimize Operations Across the Military Health System,15
DHMSM,E3,Co-create Optimal Outcomes for Health Well-Being and Readines,15
DHMSM,E4,Deliver Solutions to Combatant Commands,15
DHMSM,M1,Optimize Critical Internal Management Processes,15
DHMSM,W1,Build Robust Improvement Capability,15
DHMSM,W10,Deploy Solutions for 21st Century,15
DHMSM,W2,Ensure that Everyone Can Succeed,15
DHMSM,W3,Gather Develop and Prioritize Requirements,15
DHMSM,W4,Unify and Fully Integrate the Enterprise Support Activities,15
DHMSM,W5,Manage and Administer MTFs,15
DHMSM,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health,15
DHMSM,W7,Deliver and Sustain Electronic Health Record,15
DHMSM,W8,Improve Readiness Health and Experience,15
DHMSM,W9,Strengthen Strategic Partnerships and Alliances,15
DoDTR,E1,Empower and Care for Our People,15
DoDTR,E2,Optimize Operations Across the Military Health System,15
DoDTR,E3,Co-create Optimal Outcomes for Health Well-Being and Readines,15
DoDTR,E4,Deliver Solutions to Combatant Commands,15
DoDTR,M1,Optimize Critical Internal Management Processes,15
DoDTR,W1,Build Robust Improvement Capability,15
DoDTR,W10,Deploy Solutions for 21st Century,15
DoDTR,W2,Ensure that Everyone Can Succeed,15
DoDTR,W3,Gather Develop and Prioritize Requirements,15
DoDTR,W4,Unify and Fully Integrate the Enterprise Support Activities,15
DoDTR,W5,Manage and Administer MTFs,15
DoDTR,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health,15
DoDTR,W7,Deliver and Sustain Electronic Health Record,15
DoDTR,W8,Improve Readiness Health and Experience,15
DoDTR,W9,Strengthen Strategic Partnerships and Alliances,15
EAS-IV,E1,Empower and Care for Our People,15
EAS-IV,E2,Optimize Operations Across the Military Health System,15
EAS-IV,E3,Co-create Optimal Outcomes for Health Well-Being and Readines,15
EAS-IV,E4,Deliver Solutions to Combatant Commands,15
EAS-IV,M1,Optimize Critical Internal Management Processes,15
EAS-IV,W1,Build Robust Improvement Capability,15
EAS-IV,W10,Deploy Solutions for 21st Century,15
EAS-IV,W2,Ensure that Everyone Can Succeed,15
EAS-IV,W3,Gather Develop and Prioritize Requirements,15
EAS-IV,W4,Unify and Fully Integrate the Enterprise Support Activities,15
EAS-IV,W5,Manage and Administer MTFs,15
EAS-IV,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health,15
EAS-IV,W7,Deliver and Sustain Electronic Health Record,15
EAS-IV,W8,Improve Readiness Health and Experience,15
EAS-IV,W9,Strengthen Strategic Partnerships and Alliances,15
EI-DS,E1,Empower and Care for Our People,15
EI-DS,E2,Optimize Operations Across the Military Health System,15
EI-DS,E3,Co-create Optimal Outcomes for Health Well-Being and Readines,15
EI-DS,E4,Deliver Solutions to Combatant Commands,15
EI-DS,M1,Optimize Critical Internal Management Processes,15
EI-DS,W1,Build Robust Improvement Capability,15
EI-DS,W10,Deploy Solutions for 21st Century,15
EI-DS,W2,Ensure that Everyone Can Succeed,15
EI-DS,W3,Gather Develop and Prioritize Requirements,15
EI-DS,W4,Unify and Fully Integrate the Enterprise Support Activities,15
EI-DS,W5,Manage and Administer MTFs,15
EI-DS,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health,15
EI-DS,W7,Deliver and Sustain Electronic Health Record,15
EI-DS,W8,Improve Readiness Health and Experience,15
EI-DS,W9,Strengthen Strategic Partnerships and Alliances,15
JOMIS,E1,Empower and Care for Our People,15
JOMIS,E2,Optimize Operations Across the Military Health System,15
JOMIS,E3,Co-create Optimal Outcomes for Health Well-Being and Readines,15
JOMIS,E4,Deliver Solutions to Combatant Commands,15
JOMIS,M1,Optimize Critical Internal Management Processes,15
JOMIS,W1,Build Robust Improvement Capability,15
JOMIS,W10,Deploy Solutions for 21st Century,15
JOMIS,W2,Ensure that Everyone Can Succeed,15
JOMIS,W3,Gather Develop and Prioritize Requirements,15
JOMIS,W4,Unify and Fully Integrate the Enterprise Support Activities,15
JOMIS,W5,Manage and Administer MTFs,15
JOMIS,W6,Modernize Private Sector Component of TRICARE Program in Support of Readiness and Health,15
JOMIS,W7,Deliver and Sustain Electronic Health Record,15
JOMIS,W8,Improve Readiness Health and Experience,15
JOMIS,W9,Strengthen Strategic Partnerships and Alliances,15
AHLTA,E1,Empower and Care for Our People,14
AHLTA,E2,Optimize Operations Across the Military Health System,14
AHLTA,E3,Co-create Optimal Outcomes for Health Well-Being and Readines,14
AHLTA,E4,Deliver Solutions to Combatant Commands,14
